Open,High,Low,Close,DayofWeek_1,DayofWeek_2,DayofWeek_3,DayofWeek_4
5.275,5.3625,5.25,5.3075,0,0,1,0
5.3075,5.325,5.0,5.0625,0,0,0,1
5.075,5.1,4.9625,4.995,0,0,0,0
4.995,5.0575,4.9875,4.995,1,0,0,0
4.9375,4.96,4.725,4.775,0,1,0,0
4.8,4.92,4.8,4.8375,0,0,1,0
4.8625,4.9,4.7575,4.785,0,0,0,1
4.775,4.825,4.7625,4.7875,0,0,0,0
4.7875,4.9625,4.755,4.9625,1,0,0,0
4.9,5.0,4.825,4.965,0,1,0,0
4.99,4.99,4.88,4.88,0,0,1,0
4.875,4.8775,4.8375,4.85,0,0,0,1
4.85,4.85,4.75,4.8,0,0,0,0
4.8,4.825,4.66,4.66,1,0,0,0
4.625,4.6475,4.5875,4.62,0,1,0,0
4.6,4.6,4.35,4.5,0,0,1,0
4.475,4.55,4.425,4.45,0,0,0,1
4.45,4.55,4.45,4.475,0,0,0,0
4.5,4.6375,4.4875,4.6175,1,0,0,0
4.6075,4.6075,4.465,4.485,0,1,0,0
4.5125,4.9875,4.5,4.8775,0,0,1,0
4.8625,4.9875,4.775,4.9,0,0,0,1
4.85,4.9875,4.8425,4.8525,0,0,0,0
4.825,4.83,4.6,4.6,1,0,0,0
4.65,4.7125,4.5925,4.7125,0,1,0,0
4.7,4.8925,4.6775,4.775,0,0,1,0
4.775,4.95,4.7625,4.875,0,0,0,1
4.85,4.975,4.785,4.8375,0,0,0,0
4.775,4.8875,4.725,4.7825,1,0,0,0
4.9,4.9,4.45,4.6025,0,1,0,0
4.5625,4.63,4.5325,4.62,0,0,1,0
4.65,4.7075,4.5575,4.6625,0,0,0,0
4.665,4.815,4.65,4.775,1,0,0,0
4.75,4.88,4.6875,4.75,0,1,0,0
4.7375,5.255,4.7375,5.0,0,0,1,0
4.9375,5.0,4.9125,4.995,0,0,0,1
5.0275,5.0275,4.9875,5.0,0,0,0,0
5.0,5.0125,4.95,4.9875,1,0,0,0
5.0,5.0,4.9125,4.94,0,1,0,0
4.9875,5.05,4.9075,4.91,0,0,1,0
5.0,5.525,5.0,5.525,0,0,0,1
5.5125,5.8,5.35,5.4125,0,0,0,0
5.475,5.6,5.475,5.6,1,0,0,0
5.5975,5.5975,5.505,5.525,0,1,0,0
5.555,5.6275,5.52,5.5475,0,0,1,0
5.5475,5.7625,5.5125,5.7625,0,0,0,1
5.7625,5.925,5.615,5.615,0,0,0,0
5.6525,5.75,5.65,5.6975,1,0,0,0
5.6975,5.6975,5.59,5.6275,0,1,0,0
5.6375,5.65,5.6,5.6225,0,0,1,0
5.6225,5.6875,5.515,5.575,0,0,0,1
5.6,5.775,5.6,5.7425,0,0,0,0
5.75,5.9,5.7375,5.8375,1,0,0,0
5.8125,5.94,5.8025,5.94,0,1,0,0
5.925,6.0,5.9,6.0,0,0,1,0
5.9375,5.9875,5.875,5.955,0,0,0,1
5.9575,6.1,5.9,6.0,0,0,0,0
6.0,6.0275,5.7625,5.7625,1,0,0,0
5.75,5.96,5.5025,5.8825,0,1,0,0
5.8575,5.9125,5.7125,5.75,0,0,1,0
5.8,5.8,5.5375,5.645,0,0,0,1
5.645,5.675,5.525,5.595,1,0,0,0
5.6,5.825,5.5,5.5,0,1,0,0
5.5625,5.8375,5.5625,5.7925,0,0,1,0
5.9425,5.975,5.815,5.965,0,0,0,1
5.965,6.0375,5.9275,6.0175,0,0,0,0
6.08,6.25,6.08,6.1625,1,0,0,0
6.1875,6.3025,6.185,6.25,0,1,0,0
6.25,6.345,6.2275,6.2925,0,0,1,0
6.25,6.29,6.2,6.2625,0,0,0,1
6.2375,6.325,6.16,6.2,0,0,0,0
6.2,6.2,6.05,6.115,1,0,0,0
6.1475,6.245,6.09,6.095,0,1,0,0
